tracking_id	SANO_0	SANO_1	SANO_2	CANCER_0	CANCER_1	CANCER_2
MSTRG.1245	41.5489	44.2915	43.1107	50.0596	62.4946	112.421
MSTRG.12450	0.754352	1.32097	1.38239	1.1404	13.6298	24.4583
MSTRG.12451	23.4526	4.4562	8.7102	12.2529	4.8476	4.58441
MSTRG.12452	1.07781	0.340977	1.70288	2.01926	0.425786	0.255523
MSTRG.12453	15.0847	14.5204	11.1874	18.1951	22.0149	20.4163
MSTRG.12454	5.25094	3.64397	2.39339	5.28606	6.27012	4.26697
MSTRG.12455	3.1468	3.17008	4.32197	2.60059	2.4993	1.91779
MSTRG.12456	118.364	165.608	238.459	157.911	156.359	211.385
MSTRG.12457	2.86155	2.93232	2.6369	3.23076	3.33415	4.29248
MSTRG.12458	44.3221	58.3637	51.3373	34.597	25.1794	19.8672
MSTRG.12459	88.3742	35.1153	56.0553	38.1206	39.9947	31.1332
MSTRG.1246	0.774955	0.773784	0.750868	0.818202	1.0983	0.726198
MSTRG.12460	6.98567	7.00713	7.22554	6.81329	15.5827	9.35448
MSTRG.12461	0	0.144896	0.0465904	0.129223	0	0.102413
MSTRG.12462	26.9657	21.6082	33.0435	11.4776	1.62714	4.52886
MSTRG.12463	0.913717	0.735553	2.31219	0.103137	0.625316	14.0164
MSTRG.12464	0.416117	0.570903	1.48797	0.143585	0.177467	0.010375
MSTRG.12465	63.5954	95.9773	92.3909	89.9319	46.4056	47.4192
MSTRG.12466	17.0852	5.25316	4.10081	17.528	79.3295	99.0821
MSTRG.12467	10.9691	12.4479	13.4933	11.1712	13.6197	14.4518
MSTRG.12468	9.54345	16.6697	8.30029	12.257	12.9188	8.26694
MSTRG.12469	5.53669	2.66562	1.98281	0.780555	271.401	3.2124
MSTRG.1247	8.12099	6.48599	6.88686	5.09323	8.5317	8.2323
MSTRG.12470	1419.98	1072.71	927.315	886.029	593.118	28.3588
MSTRG.12471	276.472	206.124	253.219	139.811	87.278	32.2602
MSTRG.12472	72.1505	52.9902	65.6303	70.0387	39.8191	58.4193
MSTRG.12473	0.53435	0.257078	0.229345	0.222146	0.124023	0.0711785
MSTRG.12474	38.8971	48.5427	47.444	1072.61	35.5909	1340.57
MSTRG.12475	3.02733	0.558191	0.793283	0.640184	0	4.45872
MSTRG.12476	172.595	169.726	151.469	130.418	483.141	400.282
MSTRG.12477	0.378353	0.145851	0.403459	0.50183	1.67348	4.11918
MSTRG.12478	0	0.0340793	0.123676	0.234512	0.196482	0
MSTRG.1248	24.8758	18.7447	18.0902	19.9776	27.1633	20.8843
MSTRG.12480	0.66323	1.53087	2.23227	0.810344	0.574484	0
MSTRG.12481	1.53708	0.753094	1.28927	3.06338	5.93261	15.5666
MSTRG.12482	16.3998	16.9519	19.6274	17.5293	17.064	13.8536
MSTRG.12483	3.76308	3.18292	3.58921	3.0003	20.8225	78.6606
MSTRG.12484	3.73432	1.2519	0.747249	4.30739	7.21778	2.63636
MSTRG.12485	15.5517	7.84446	9.42636	12.67	12.2577	10.5024
MSTRG.12486	18.3889	11.4777	10.3244	10.6735	12.2932	13.0819
MSTRG.12487	1.54899	1.94197	1.64956	2.1488	1.58546	2.80362
MSTRG.12488	3.97683	3.38652	3.1353	4.38774	3.98738	5.64884
MSTRG.12489	3.74563	1.75649	1.20251	3.28553	3.52574	3.25362
MSTRG.1249	14.3983	27.6371	15.3728	22.8051	19.0844	17.4777
MSTRG.12490	87.9973	107.85	99.6653	121.155	50.4065	62.5864
MSTRG.12491	32.7226	59.1183	50.0191	67.5321	33.4309	68.907
MSTRG.12492	21.2132	13.9432	14.6869	14.3496	14.5878	10.4341
MSTRG.12493	12.198	8.68131	6.71975	10.4875	16.61	24.362
MSTRG.12494	3.06821	16.1681	2.90383	30.1125	29.3455	10.0221
MSTRG.12495	0.147611	0.0723258	0.111479	0.0964033	0.342615	0.13078
MSTRG.12496	2.43391	3.10553	0.59227	4.36823	0.901753	0.953718
MSTRG.12497	18.0663	11.4936	15.0756	13.5791	13.635	26.0217
MSTRG.12498	288.841	308.827	405.001	306.555	340.848	372.143
MSTRG.12499	27.4543	29.3867	22.3372	36.4364	26.0584	15.8895
MSTRG.125	6.32284	6.74335	4.61709	6.15638	2.44125	4.35821
MSTRG.1250	0.689257	3.38901	2.74532	4.08116	2.14132	2.7686
MSTRG.12500	31.8497	22.2112	24.7759	26.2141	43.4703	51.457
